id,phase,workstream,task,priority,dependencies,implementation_status
CNWM-001,0,Fork compliance,Create the official GitHub fork under the CommodityNode organization and record the upstream base SHA/tag.,P0,—,complete
CNWM-002,0,Fork compliance,Preserve upstream LICENSE and copyright notices without modification.,P0,CNWM-001,complete
CNWM-003,0,Fork compliance,Add NOTICE.md with factual derivation statement and no affiliation implication.,P0,CNWM-001,complete
CNWM-004,0,Fork compliance,"Add UPSTREAM.md, SOURCE-OFFER.md and CHANGES-COMMODITYNODE.md.",P0,CNWM-001,complete
CNWM-005,0,Fork compliance,Implement /source page and footer source-code link.,P0,CNWM-004,complete
CNWM-006,0,Fork compliance,"Expose build-info JSON with commit SHA, build date, variant and source URL.",P0,CNWM-004,complete
CNWM-007,0,Fork compliance,Add CI guard that rejects a deploy when source URL/tag does not match build SHA.,P0,CNWM-006,complete
CNWM-008,0,Fork compliance,Create third-party license and data-source inventory.,P0,CNWM-001,complete
CNWM-009,0,Brand,Remove World Monitor name/logo from CommodityNode user-facing surfaces while retaining attribution.,P0,CNWM-003,complete
CNWM-010,0,Source baseline,"Snapshot current CommodityNode Jekyll route, content, data, image and chart inventories.",P0,—,complete
CNWM-011,0,Source baseline,Freeze current production deployment and document Vercel project/source commit.,P0,CNWM-010,complete
CNWM-012,0,Public UX,Remove public Publication gate/0-of-6 compliance portal from production navigation.,P0,CNWM-011,complete
CNWM-013,1,Variant,Create src/config/variants/commoditynode.ts as an additive variant.,P0,CNWM-001,complete
CNWM-014,1,Variant,Centralize valid variant names and add commoditynode host/build detection.,P0,CNWM-013,complete
CNWM-015,1,Variant,"Add CommodityNode metadata, theme tokens and public product facts.",P0,CNWM-013,complete
CNWM-016,1,Build,Add dev/build/test/e2e/visual scripts for commoditynode.,P0,CNWM-013,complete
CNWM-017,1,Panel defaults,"Define the minimal initial panel set: map, Event Pulse, benchmark tape, disruptions, routes, monitors.",P0,CNWM-013,complete
CNWM-018,1,Map defaults,Define desktop and mobile CommodityNode layer budgets.,P1,CNWM-013,complete
CNWM-019,1,Brand,Create shared CommodityNode design token source consumed by SPA and Astro.,P1,CNWM-015,complete
CNWM-020,1,Shell,"Add CommodityNode global nav, cross-surface links and source attribution.",P1,CNWM-017,complete
CNWM-021,1,CORS,Add CommodityNode apex/live/API/editorial origins to allowlists.,P0,CNWM-014,complete
CNWM-022,1,Deployment,Create separate Vercel projects for research and live/API surfaces from one fork.,P0,CNWM-016,complete
CNWM-023,1,Upstream sync,Create upstream-main mirror branch and automated sync PR workflow.,P1,CNWM-001,complete
CNWM-024,1,Patch ledger,Track direct modifications to upstream hot files and conflict owners.,P1,CNWM-021,complete
CNWM-025,2,Research surface,Expand the existing Astro blog-site into the CommodityNode apex research product.,P0,CNWM-020,complete
CNWM-026,2,Content schemas,"Define collections for commodities, events, research, companies, industries, authors and sources.",P0,CNWM-023,complete
CNWM-027,2,Home,Build the editorial home with a lazy live-map teaser and no ads.,P1,CNWM-023,complete
CNWM-028,2,Directory,Build commodity directory with benchmark/proxy semantics and coverage states.,P1,CNWM-024,complete
CNWM-029,2,Commodity hub,Build reusable Commodity Hub template.,P0,CNWM-024,complete
CNWM-030,2,Event Pulse,Build Event Pulse index and detail templates.,P1,CNWM-024,complete
CNWM-031,2,Research,"Build Research index/detail, author and reviewer components.",P1,CNWM-024,complete
CNWM-032,2,Companies,Build company/asset exposure pages only for evidence-backed records.,P1,CNWM-024,complete
CNWM-033,2,Trust pages,"Build Methodology, Sources, Editorial Policy, Corrections, About, Contact and legal pages.",P0,CNWM-023,complete
CNWM-034,2,Source page,Integrate AGPL source offer into both footer and dedicated source page.,P0,CNWM-005,complete
CNWM-035,2,Search,Implement static/content search that excludes drafts and private records.,P2,CNWM-024,complete
CNWM-036,2,Legacy redirects,Implement route dispositions for reports/tools/legacy SaaS routes.,P1,CNWM-010,complete
CNWM-037,3,Database,"Provision PostgreSQL as durable source of truth for registry, claims, graph and editorial workflow.",P0,CNWM-020,in_progress
CNWM-038,3,Registry,"Implement DataSourceRegistry with terms, rights, cadence, attribution and owner.",P0,CNWM-035,complete
CNWM-039,3,Market contract,Implement MarketInstrument/BenchmarkContract schemas.,P0,CNWM-035,complete
CNWM-040,3,Provider adapters,"Wrap Yahoo/yfinance, official series and alternatives behind provider adapters.",P0,CNWM-037,complete
CNWM-041,3,yfinance,"Implement yfinance/Yahoo proxy adapter with staggered fetch, cache and explicit source labels.",P0,CNWM-038,complete
CNWM-042,3,Official data,"Add EIA, USGS, USDA, World Bank/FRED adapters for approved series.",P1,CNWM-036,complete
CNWM-043,3,Asset registry,Import upstream commodity geography as candidate records.,P1,CNWM-035,complete
CNWM-044,3,Claim ledger,Implement Claim and SourceRecord tables with exact locators.,P0,CNWM-035,complete
CNWM-045,3,Rights ledger,Implement rights status and expiry at dataset and media-asset level.,P0,CNWM-036,complete
CNWM-046,3,Freshness envelope,"Add asOf, fetchedAt, staleAt, expiresAt and status to all public data responses.",P1,CNWM-036,complete
CNWM-047,3,Fail-soft,Replace global publication kill switch with dataset/module/page publication contracts.,P0,CNWM-036,complete
CNWM-048,3,Health,Create private data-health dashboard and concise public status badges.,P1,CNWM-045,complete
CNWM-049,4,Map data,Create CommodityNode marker discriminants and typed render adapters.,P0,"CNWM-014,CNWM-041",complete
CNWM-050,4,Layers,"Implement verified mines, plants, ports, pipelines, routes and events layers.",P0,CNWM-046,complete
CNWM-051,4,Layer UX,Create grouped layer drawer with presets by commodity and event type.,P1,CNWM-048,complete
CNWM-052,4,Selection,Build unified entity/event detail drawer.,P1,CNWM-048,complete
CNWM-053,4,Map ↔ research,Deep-link live entities/events to Commodity Hubs and Event Pulses.,P1,"CNWM-049,CNWM-027",complete
CNWM-054,4,Search,"Add commodity, facility, company, event and route search.",P1,CNWM-048,complete
CNWM-055,4,Event animation,Render bounded pulse/ripple animation for verified events.,P1,CNWM-048,complete
CNWM-056,4,Performance,Lazy-load globe and non-default layers; keep flat map as analytical default.,P0,CNWM-048,complete
